------------------------------,--------------------
www.electricblue.eu, Portugal
------------------------------,--------------------
EnvLogger version, T2.4
EnvLogger Viewer version, 1.18
downloading device type, iphone
device, iPhone
downloading mode, manual
------------------------------,--------------------
serial number, 04C6 6500 710F 02
custom name, surf-igna
temperature, degrees Celsius
time zone, UTC+0000
sampling resolution, 0.1
samples, 17
time diff [logger-smartphone](sec), -1
lat, -54.347990
long, -71.380300
accuracy (m), 14.8
------------------------------,--------------------
time,temp
2025-02-24 04:10:00,NA
2025-02-24 04:11:00,22.8
2025-02-24 04:12:00,18.1
2025-02-24 04:13:00,13.2
2025-02-24 04:14:00,11.1
2025-02-24 04:15:00,10.1
2025-02-24 04:16:00,9.7
2025-02-24 04:17:00,9.5
2025-02-24 04:18:00,9.5
2025-02-24 04:19:00,9.4
2025-02-24 04:20:00,9.4
2025-02-24 04:21:00,9.4
2025-02-24 04:22:00,9.4
2025-02-24 04:23:00,9.4
2025-02-24 04:24:00,9.4
2025-02-24 04:25:00,9.4
2025-02-24 04:26:00,9.4
