------------------------------,--------------------
www.electricblue.eu, Portugal
------------------------------,--------------------
EnvLogger version, T2.4
EnvLogger Viewer version, 6.5
downloading device type, android
device, SM-A047F
device name, A04s de Izaskun
downloading mode, manual
------------------------------,--------------------
serial number, 043C D700 5E03 0D
custom name, IEO1
temperature, degrees Celsius (?C)
time zone, UTC+0000
sampling resolution, 0.1
samples, 24
time diff [logger-smartphone](sec), 0
lat, 43.463658
long, -3.781742
accuracy (m), 1.5
------------------------------,--------------------
time,temp
2026-03-18 10:45:00,22.9
2026-03-18 10:45:20,22.2
2026-03-18 10:45:40,20.3
2026-03-18 10:46:00,18.8
2026-03-18 10:46:20,17.5
2026-03-18 10:46:40,16.6
2026-03-18 10:47:00,16.0
2026-03-18 10:47:20,15.5
2026-03-18 10:47:40,15.2
2026-03-18 10:48:00,14.9
2026-03-18 10:48:20,14.7
2026-03-18 10:48:40,14.6
2026-03-18 10:49:00,14.5
2026-03-18 10:49:20,14.4
2026-03-18 10:49:40,14.3
2026-03-18 10:50:00,14.2
2026-03-18 10:50:20,14.2
2026-03-18 10:50:40,14.2
2026-03-18 10:51:00,14.2
2026-03-18 10:51:20,14.2
2026-03-18 10:51:40,14.2
2026-03-18 10:52:00,14.4
2026-03-18 10:52:20,14.5
2026-03-18 10:52:40,NA
