------------------------------,--------------------
www.electricblue.eu, Portugal
------------------------------,--------------------
EnvLogger version, T2.4
EnvLogger Viewer version, 6.5
downloading device type, android
device, SM-A047F
device name, A04s de Izaskun
downloading mode, manual
------------------------------,--------------------
serial number, 043C D700 5E03 0D
custom name, IEO1
temperature, degrees Celsius (?C)
time zone, UTC+0000
sampling resolution, 0.1
samples, 25
time diff [logger-smartphone](sec), -1
lat, 43.463616
long, -3.781643
accuracy (m), 3.5
------------------------------,--------------------
time,temp
2026-04-08 10:00:00,NA
2026-04-08 10:00:20,24.6
2026-04-08 10:00:40,24.8
2026-04-08 10:01:00,24.6
2026-04-08 10:01:20,22.6
2026-04-08 10:01:40,20.7
2026-04-08 10:02:00,19.4
2026-04-08 10:02:20,18.2
2026-04-08 10:02:40,17.3
2026-04-08 10:03:00,16.8
2026-04-08 10:03:20,16.4
2026-04-08 10:03:40,15.9
2026-04-08 10:04:00,15.7
2026-04-08 10:04:20,15.5
2026-04-08 10:04:40,15.4
2026-04-08 10:05:00,15.2
2026-04-08 10:05:20,15.2
2026-04-08 10:05:40,15.1
2026-04-08 10:06:00,15.1
2026-04-08 10:06:20,15.1
2026-04-08 10:06:40,15.0
2026-04-08 10:07:00,15.0
2026-04-08 10:07:20,15.0
2026-04-08 10:07:40,14.9
2026-04-08 10:08:00,15.0
