------------------------------,--------------------
www.electricblue.eu, Portugal
------------------------------,--------------------
EnvLogger version, T2.4
EnvLogger Viewer version, 6.5
downloading device type, android
device, SM-A236B
device name, A23 de Roberto
downloading mode, manual
------------------------------,--------------------
serial number, 04A9 3300 C40E 01
custom name, Colegio MB
temperature, degrees Celsius (?C)
time zone, UTC+0000
sampling resolution, 0.1
samples, 22
time diff [logger-smartphone](sec), -2
lat, 43.451149
long, -3.821741
accuracy (m), 6.2
------------------------------,--------------------
time,temp
2026-03-03 10:18:00,NA
2026-03-03 10:18:20,20.7
2026-03-03 10:18:40,20.4
2026-03-03 10:19:00,18.9
2026-03-03 10:19:20,17.6
2026-03-03 10:19:40,16.5
2026-03-03 10:20:00,15.8
2026-03-03 10:20:20,15.3
2026-03-03 10:20:40,14.9
2026-03-03 10:21:00,14.5
2026-03-03 10:21:20,14.2
2026-03-03 10:21:40,14.0
2026-03-03 10:22:00,13.8
2026-03-03 10:22:20,13.7
2026-03-03 10:22:40,13.6
2026-03-03 10:23:00,13.6
2026-03-03 10:23:20,13.6
2026-03-03 10:23:40,13.5
2026-03-03 10:24:00,13.5
2026-03-03 10:24:20,13.4
2026-03-03 10:24:40,13.4
2026-03-03 10:25:00,13.5
