------------------------------,--------------------
www.electricblue.eu, Portugal
------------------------------,--------------------
EnvLogger version, T2.4
EnvLogger Viewer version, 6.5
downloading device type, android
device, SM-A047F
device name, A04s de Izaskun
downloading mode, manual
------------------------------,--------------------
serial number, 043C D700 5E03 0D
custom name, IEO1
temperature, degrees Celsius (ºC)
time zone, UTC+0000
sampling resolution, 0.1
samples, 34
time diff [logger-smartphone](sec), -2
lat, 43.463647
long, -3.781673
accuracy (m), 2.5
------------------------------,--------------------
time,temp
2026-02-16 11:22:00,NA
2026-02-16 11:22:20,15.7
2026-02-16 11:22:40,15.6
2026-02-16 11:23:00,15.4
2026-02-16 11:23:20,15.0
2026-02-16 11:23:40,14.7
2026-02-16 11:24:00,15.2
2026-02-16 11:24:20,15.7
2026-02-16 11:24:40,15.6
2026-02-16 11:25:00,15.4
2026-02-16 11:25:20,15.1
2026-02-16 11:25:40,14.9
2026-02-16 11:26:00,14.5
2026-02-16 11:26:20,14.3
2026-02-16 11:26:40,14.0
2026-02-16 11:27:00,13.6
2026-02-16 11:27:20,13.2
2026-02-16 11:27:40,13.0
2026-02-16 11:28:00,12.8
2026-02-16 11:28:20,12.6
2026-02-16 11:28:40,12.4
2026-02-16 11:29:00,12.4
2026-02-16 11:29:20,12.3
2026-02-16 11:29:40,12.3
2026-02-16 11:30:00,12.2
2026-02-16 11:30:20,12.2
2026-02-16 11:30:40,12.1
2026-02-16 11:31:00,12.2
2026-02-16 11:31:20,12.1
2026-02-16 11:31:40,12.1
2026-02-16 11:32:00,12.1
2026-02-16 11:32:20,12.2
2026-02-16 11:32:40,NA
2026-02-16 11:33:00,NA
