------------------------------,--------------------
www.electricblue.eu, Portugal
------------------------------,--------------------
EnvLogger version, T2.4
EnvLogger Viewer version, 6.4
downloading device type, android
device, SM-A047F
device name, Galaxy A04s
downloading mode, manual
------------------------------,--------------------
serial number, 043C D700 5E03 0D
custom name, IEO1
temperature, degrees Celsius (?C)
time zone, UTC+0000
sampling resolution, 0.1
samples, 36
time diff [logger-smartphone](sec), -2
lat, 43.465775
long, -3.778943
accuracy (m), 5.5
------------------------------,--------------------
time,temp
2025-08-26 14:39:40,26.2
2025-08-26 14:40:00,26.4
2025-08-26 14:40:20,25.3
2025-08-26 14:40:40,24.1
2025-08-26 14:41:00,23.2
2025-08-26 14:41:20,22.5
2025-08-26 14:41:40,22.0
2025-08-26 14:42:00,21.5
2025-08-26 14:42:20,21.2
2025-08-26 14:42:40,21.0
2025-08-26 14:43:00,20.7
2025-08-26 14:43:20,20.7
2025-08-26 14:43:40,20.5
2025-08-26 14:44:00,20.5
2025-08-26 14:44:20,20.4
2025-08-26 14:44:40,20.4
2025-08-26 14:45:00,20.4
2025-08-26 14:45:20,20.3
2025-08-26 14:45:40,20.3
2025-08-26 14:46:00,20.2
2025-08-26 14:46:20,20.3
2025-08-26 14:46:40,20.2
2025-08-26 14:47:00,20.2
2025-08-26 14:47:20,20.3
2025-08-26 14:47:40,20.5
2025-08-26 14:48:00,20.7
2025-08-26 14:48:20,20.9
2025-08-26 14:48:40,21.3
2025-08-26 14:49:00,21.6
2025-08-26 14:49:20,22.1
2025-08-26 14:49:40,22.7
2025-08-26 14:50:00,23.2
2025-08-26 14:50:20,23.6
2025-08-26 14:50:40,24.1
2025-08-26 14:51:00,NA
2025-08-26 14:51:20,NA
