------------------------------,--------------------
www.electricblue.eu, Portugal
------------------------------,--------------------
EnvLogger version, T2.4
EnvLogger Viewer version, 1.22
downloading device type, iphone
device, iPhone
device name, iOS 18.6.2
downloading mode, manual
------------------------------,--------------------
serial number, 04A9 E300 0222 08
custom name, nz
temperature, degrees Celsius (?C)
time zone, UTC+0000
sampling resolution, 0.1
samples, 54
time diff [logger-smartphone](sec), -4
lat, 43.475022
long, -3.692241
accuracy (m), 4.7
------------------------------,--------------------
time,temp
2026-07-25 17:14:02,NA
2026-07-25 17:16:02,23.6
2026-07-25 17:18:02,23.4
2026-07-25 17:20:02,23.2
2026-07-25 17:22:02,23.0
2026-07-25 17:24:02,23.1
2026-07-25 17:26:02,23.3
2026-07-25 17:28:02,23.3
2026-07-25 17:30:02,23.3
2026-07-25 17:32:02,23.3
2026-07-25 17:34:02,23.3
2026-07-25 17:36:02,23.2
2026-07-25 17:38:02,23.1
2026-07-25 17:40:02,23.2
2026-07-25 17:42:02,23.2
2026-07-25 17:44:02,23.2
2026-07-25 17:46:02,23.1
2026-07-25 17:48:02,23.1
2026-07-25 17:50:02,23.1
2026-07-25 17:52:02,23.1
2026-07-25 17:54:02,23.1
2026-07-25 17:56:02,23.0
2026-07-25 17:58:02,22.3
2026-07-25 18:00:02,22.0
2026-07-25 18:02:02,21.9
2026-07-25 18:04:02,22.7
2026-07-25 18:06:02,23.0
2026-07-25 18:08:02,23.0
2026-07-25 18:10:02,23.2
2026-07-25 18:12:02,23.1
2026-07-25 18:14:02,23.1
2026-07-25 18:16:02,23.1
2026-07-25 18:18:02,23.1
2026-07-25 18:20:02,23.1
2026-07-25 18:22:02,23.1
2026-07-25 18:24:02,23.1
2026-07-25 18:26:02,23.0
2026-07-25 18:28:02,23.1
2026-07-25 18:30:02,23.0
2026-07-25 18:32:02,23.0
2026-07-25 18:34:02,23.1
2026-07-25 18:36:02,23.0
2026-07-25 18:38:02,23.1
2026-07-25 18:40:02,23.0
2026-07-25 18:42:02,23.0
2026-07-25 18:44:02,23.0
2026-07-25 18:46:02,23.0
2026-07-25 18:48:02,23.0
2026-07-25 18:50:02,23.0
2026-07-25 18:52:02,23.0
2026-07-25 18:54:02,22.0
2026-07-25 18:56:02,20.8
2026-07-25 18:58:02,20.4
