------------------------------,--------------------
www.electricblue.eu, Portugal
------------------------------,--------------------
EnvLogger version, T2.4
EnvLogger Viewer version, 1.18
downloading device type, iphone
device, iPhone
downloading mode, manual
------------------------------,--------------------
serial number, 04C6 6500 710F 02
custom name, surf-igna
temperature, degrees Celsius
time zone, UTC+0000
sampling resolution, 0.1
samples, 39
time diff [logger-smartphone](sec), 0
lat, -62.685011
long, -61.064168
accuracy (m), 5.3
------------------------------,--------------------
time,temp
2025-02-27 18:52:48,NA
2025-02-27 18:53:08,15.9
2025-02-27 18:53:28,15.2
2025-02-27 18:53:48,12.9
2025-02-27 18:54:08,10.1
2025-02-27 18:54:28,8.0
2025-02-27 18:54:48,6.4
2025-02-27 18:55:08,5.2
2025-02-27 18:55:28,4.3
2025-02-27 18:55:48,3.5
2025-02-27 18:56:08,3.0
2025-02-27 18:56:28,2.6
2025-02-27 18:56:48,2.3
2025-02-27 18:57:08,2.1
2025-02-27 18:57:28,1.9
2025-02-27 18:57:48,1.8
2025-02-27 18:58:08,1.7
2025-02-27 18:58:28,1.6
2025-02-27 18:58:48,1.6
2025-02-27 18:59:08,1.6
2025-02-27 18:59:28,1.5
2025-02-27 18:59:48,1.5
2025-02-27 19:00:08,1.5
2025-02-27 19:00:28,1.5
2025-02-27 19:00:48,1.5
2025-02-27 19:01:08,1.5
2025-02-27 19:01:28,1.5
2025-02-27 19:01:48,1.5
2025-02-27 19:02:08,1.5
2025-02-27 19:02:28,1.4
2025-02-27 19:02:48,1.4
2025-02-27 19:03:08,1.4
2025-02-27 19:03:28,1.4
2025-02-27 19:03:48,1.4
2025-02-27 19:04:08,1.5
2025-02-27 19:04:28,1.5
2025-02-27 19:04:48,1.5
2025-02-27 19:05:08,1.4
2025-02-27 19:05:28,1.4
