------------------------------,--------------------
www.electricblue.eu, Portugal
------------------------------,--------------------
EnvLogger version, T2.4
EnvLogger Viewer version, 6.5
downloading device type, android
device, SM-A047F
device name, A04s de Izaskun
downloading mode, manual
------------------------------,--------------------
serial number, 043C D700 5E03 0D
custom name, IEO1
temperature, degrees Celsius (?C)
time zone, UTC+0000
sampling resolution, 0.1
samples, 16
time diff [logger-smartphone](sec), -1766882904
lat, 43.465643
long, -3.778780
accuracy (m), 4.5
------------------------------,--------------------
time,temp
2026-05-07 12:04:01,19.7
2026-05-07 12:04:21,20.1
2026-05-07 12:04:41,20.2
2026-05-07 12:05:01,19.8
2026-05-07 12:05:21,19.3
2026-05-07 12:05:41,18.7
2026-05-07 12:06:01,18.4
2026-05-07 12:06:21,18.1
2026-05-07 12:06:41,17.9
2026-05-07 12:07:01,17.8
2026-05-07 12:07:21,17.6
2026-05-07 12:07:41,17.5
2026-05-07 12:08:01,17.4
2026-05-07 12:08:21,17.4
2026-05-07 12:08:41,17.4
2026-05-07 12:09:01,17.3
2026-05-07 12:09:21,17.4
2026-05-07 12:09:41,17.3
2026-05-07 12:10:01,17.2
2026-05-07 12:10:21,17.2
2026-05-07 12:10:41,17.3
2026-05-07 12:11:01,17.3
2026-05-07 12:11:21,17.3
2026-05-07 12:11:41,17.2
2026-05-07 12:12:01,17.3
2026-05-07 12:12:21,NA
