------------------------------,--------------------
www.electricblue.eu, Portugal
------------------------------,--------------------
EnvLogger version, T2.4
EnvLogger Viewer version, 6.5
downloading device type, android
device, 25078RA3EY
device name, REDMI 15C
downloading mode, manual
------------------------------,--------------------
serial number, 043C D700 5E03 0D
custom name, IEO1
temperature, degrees Celsius (?C)
time zone, UTC+0000
sampling resolution, 0.1
samples, 55
time diff [logger-smartphone](sec), -1
lat, 43.465815
long, -3.778777
accuracy (m), 1.5
------------------------------,--------------------
time,temp
2026-05-25 10:44:20,NA
2026-05-25 10:44:40,30.6
2026-05-25 10:45:00,31.4
2026-05-25 10:45:20,31.8
2026-05-25 10:45:40,31.9
2026-05-25 10:46:00,30.6
2026-05-25 10:46:20,28.8
2026-05-25 10:46:40,26.8
2026-05-25 10:47:00,24.9
2026-05-25 10:47:20,23.5
2026-05-25 10:47:40,22.4
2026-05-25 10:48:00,21.6
2026-05-25 10:48:20,20.9
2026-05-25 10:48:40,20.4
2026-05-25 10:49:00,20.1
2026-05-25 10:49:20,19.8
2026-05-25 10:49:40,19.6
2026-05-25 10:50:00,19.4
2026-05-25 10:50:20,19.4
2026-05-25 10:50:40,19.3
2026-05-25 10:51:00,19.2
2026-05-25 10:51:20,19.2
2026-05-25 10:51:40,19.1
2026-05-25 10:52:00,19.1
2026-05-25 10:52:20,19.1
2026-05-25 10:52:40,19.1
2026-05-25 10:53:00,19.1
2026-05-25 10:53:20,19.2
2026-05-25 10:53:40,19.2
2026-05-25 10:54:00,19.6
2026-05-25 10:54:20,20.3
2026-05-25 10:54:40,20.6
2026-05-25 10:55:00,21.0
2026-05-25 10:55:20,21.3
2026-05-25 10:55:40,21.6
2026-05-25 10:56:00,22.1
2026-05-25 10:56:20,NA
2026-05-25 10:56:40,NA
2026-05-25 10:57:00,25.5
2026-05-25 10:57:20,NA
2026-05-25 10:57:40,NA
2026-05-25 10:58:00,27.6
2026-05-25 10:58:20,27.6
2026-05-25 10:58:40,27.7
2026-05-25 10:59:00,27.6
2026-05-25 10:59:20,27.7
2026-05-25 10:59:40,27.9
2026-05-25 11:00:00,28.2
2026-05-25 11:00:20,28.6
2026-05-25 11:00:40,29.0
2026-05-25 11:01:00,29.5
2026-05-25 11:01:20,29.9
2026-05-25 11:01:40,30.3
2026-05-25 11:02:00,30.6
2026-05-25 11:02:20,30.9
