------------------------------,--------------------
www.electricblue.eu, Portugal
------------------------------,--------------------
EnvLogger version, T2.4
EnvLogger Viewer version, 1.22
downloading device type, iphone
device, iPhone
device name, iOS 18.6.2
downloading mode, manual
------------------------------,--------------------
serial number, 04A9 E300 0222 08
custom name, nz
temperature, degrees Celsius (?C)
time zone, UTC+0000
sampling resolution, 0.1
samples, 71
time diff [logger-smartphone](sec), -6
lat, 43.457283
long, -3.724288
accuracy (m), 4.2
------------------------------,--------------------
time,temp
2026-07-27 16:27:51,NA
2026-07-27 16:29:51,25.9
2026-07-27 16:31:51,25.4
2026-07-27 16:33:51,25.4
2026-07-27 16:35:51,25.4
2026-07-27 16:37:51,26.8
2026-07-27 16:39:51,26.7
2026-07-27 16:41:51,25.6
2026-07-27 16:43:51,25.1
2026-07-27 16:45:51,24.0
2026-07-27 16:47:51,23.4
2026-07-27 16:49:51,23.2
2026-07-27 16:51:51,23.1
2026-07-27 16:53:51,23.0
2026-07-27 16:55:51,23.1
2026-07-27 16:57:51,23.2
2026-07-27 16:59:51,23.2
2026-07-27 17:01:51,23.1
2026-07-27 17:03:51,23.0
2026-07-27 17:05:51,23.1
2026-07-27 17:07:51,23.0
2026-07-27 17:09:51,22.9
2026-07-27 17:11:51,23.0
2026-07-27 17:13:51,22.9
2026-07-27 17:15:51,23.0
2026-07-27 17:17:51,23.0
2026-07-27 17:19:51,23.1
2026-07-27 17:21:51,23.1
2026-07-27 17:23:51,23.0
2026-07-27 17:25:51,23.0
2026-07-27 17:27:51,23.1
2026-07-27 17:29:51,23.0
2026-07-27 17:31:51,23.1
2026-07-27 17:33:51,23.0
2026-07-27 17:35:51,23.1
2026-07-27 17:37:51,23.1
2026-07-27 17:39:51,23.0
2026-07-27 17:41:51,23.1
2026-07-27 17:43:51,23.1
2026-07-27 17:45:51,23.1
2026-07-27 17:47:51,23.1
2026-07-27 17:49:51,23.1
2026-07-27 17:51:51,23.1
2026-07-27 17:53:51,23.0
2026-07-27 17:55:51,23.0
2026-07-27 17:57:51,23.0
2026-07-27 17:59:51,23.2
2026-07-27 18:01:51,23.0
2026-07-27 18:03:51,23.0
2026-07-27 18:05:51,23.1
2026-07-27 18:07:51,23.1
2026-07-27 18:09:51,23.0
2026-07-27 18:11:51,23.0
2026-07-27 18:13:51,23.1
2026-07-27 18:15:51,23.1
2026-07-27 18:17:51,23.0
2026-07-27 18:19:51,23.0
2026-07-27 18:21:51,23.0
2026-07-27 18:23:51,23.0
2026-07-27 18:25:51,23.0
2026-07-27 18:27:51,23.0
2026-07-27 18:29:51,23.0
2026-07-27 18:31:51,23.0
2026-07-27 18:33:51,23.0
2026-07-27 18:35:51,22.7
2026-07-27 18:37:51,22.7
2026-07-27 18:39:51,23.2
2026-07-27 18:41:51,23.8
2026-07-27 18:43:51,23.3
2026-07-27 18:45:51,22.9
2026-07-27 18:47:51,22.4
