------------------------------,--------------------
www.electricblue.eu, Portugal
------------------------------,--------------------
EnvLogger version, T2.4
EnvLogger Viewer version, 6.5
downloading device type, android
device, SM-A047F
device name, Galaxy A04s
downloading mode, manual
------------------------------,--------------------
serial number, 043C D700 5E03 0D
custom name, IEO1
temperature, degrees Celsius (ºC)
time zone, UTC+0000
sampling resolution, 0.1
samples, 27
time diff [logger-smartphone](sec), -1
lat, 43.463738
long, -3.781488
accuracy (m), 5.5
------------------------------,--------------------
time,temp
2025-10-14 10:56:40,26.3
2025-10-14 10:57:00,26.3
2025-10-14 10:57:20,26.2
2025-10-14 10:57:40,26.1
2025-10-14 10:58:00,24.8
2025-10-14 10:58:20,23.1
2025-10-14 10:58:40,21.6
2025-10-14 10:59:00,20.4
2025-10-14 10:59:20,19.5
2025-10-14 10:59:40,18.9
2025-10-14 11:00:00,18.4
2025-10-14 11:00:20,18.1
2025-10-14 11:00:40,17.8
2025-10-14 11:01:00,17.6
2025-10-14 11:01:20,17.4
2025-10-14 11:01:40,17.3
2025-10-14 11:02:00,17.2
2025-10-14 11:02:20,17.1
2025-10-14 11:02:40,17.1
2025-10-14 11:03:00,17.1
2025-10-14 11:03:20,17.0
2025-10-14 11:03:40,17.0
2025-10-14 11:04:00,17.1
2025-10-14 11:04:20,17.0
2025-10-14 11:04:40,17.0
2025-10-14 11:05:00,17.0
2025-10-14 11:05:20,17.2
