------------------------------,--------------------
www.electricblue.eu, Portugal
------------------------------,--------------------
EnvLogger version, T2.4
EnvLogger Viewer version, 6.5
downloading device type, android
device, SM-A047F
device name, Galaxy A04s
downloading mode, manual
------------------------------,--------------------
serial number, 04DE 2900 F655 0A
custom name, IEO2
temperature, degrees Celsius (?C)
time zone, UTC+0000
sampling resolution, 0.1
samples, 29
time diff [logger-smartphone](sec), 0
lat, 43.463736
long, -3.781473
accuracy (m), 4.5
------------------------------,--------------------
time,temp
2025-10-14 10:57:00,25.5
2025-10-14 10:57:20,25.4
2025-10-14 10:57:40,25.4
2025-10-14 10:58:00,24.1
2025-10-14 10:58:20,22.6
2025-10-14 10:58:40,21.2
2025-10-14 10:59:00,20.2
2025-10-14 10:59:20,19.4
2025-10-14 10:59:40,18.8
2025-10-14 11:00:00,18.3
2025-10-14 11:00:20,18.0
2025-10-14 11:00:40,17.7
2025-10-14 11:01:00,17.6
2025-10-14 11:01:20,17.4
2025-10-14 11:01:40,17.3
2025-10-14 11:02:00,17.2
2025-10-14 11:02:20,17.1
2025-10-14 11:02:40,17.1
2025-10-14 11:03:00,17.0
2025-10-14 11:03:20,17.0
2025-10-14 11:03:40,17.0
2025-10-14 11:04:00,17.0
2025-10-14 11:04:20,17.0
2025-10-14 11:04:40,17.0
2025-10-14 11:05:00,17.0
2025-10-14 11:05:20,17.1
2025-10-14 11:05:40,17.5
2025-10-14 11:06:00,17.8
2025-10-14 11:06:20,18.1
