------------------------------,--------------------
www.electricblue.eu, Portugal
------------------------------,--------------------
EnvLogger version, T2.4
EnvLogger Viewer version, 1.18
downloading device type, iphone
device, iPhone
downloading mode, manual
------------------------------,--------------------
serial number, 04C8 5500 453D 0C
custom name, 
temperature, degrees Celsius
time zone, UTC+0000
sampling resolution, 0.1
samples, 38
time diff [logger-smartphone](sec), -3
lat, 43.473670
long, -3.692675
accuracy (m), 15.7
------------------------------,--------------------
time,temp
2025-07-06 07:19:07,NA
2025-07-06 07:21:07,24.1
2025-07-06 07:23:07,23.9
2025-07-06 07:25:07,23.4
2025-07-06 07:27:07,23.2
2025-07-06 07:29:07,22.6
2025-07-06 07:31:07,21.7
2025-07-06 07:33:07,20.8
2025-07-06 07:35:07,20.8
2025-07-06 07:37:07,20.7
2025-07-06 07:39:07,20.8
2025-07-06 07:41:07,20.7
2025-07-06 07:43:07,20.7
2025-07-06 07:45:07,20.7
2025-07-06 07:47:07,20.7
2025-07-06 07:49:07,20.7
2025-07-06 07:51:07,20.8
2025-07-06 07:53:07,20.8
2025-07-06 07:55:07,20.7
2025-07-06 07:57:07,20.8
2025-07-06 07:59:07,20.7
2025-07-06 08:01:07,20.7
2025-07-06 08:03:07,20.7
2025-07-06 08:05:07,20.7
2025-07-06 08:07:07,20.7
2025-07-06 08:09:07,20.7
2025-07-06 08:11:07,21.0
2025-07-06 08:13:07,20.9
2025-07-06 08:15:07,21.0
2025-07-06 08:17:07,20.9
2025-07-06 08:19:07,20.5
2025-07-06 08:21:07,20.5
2025-07-06 08:23:07,20.7
2025-07-06 08:25:07,20.9
2025-07-06 08:27:07,21.0
2025-07-06 08:29:07,21.3
2025-07-06 08:31:07,21.4
2025-07-06 08:33:07,21.6
