------------------------------,--------------------
www.electricblue.eu, Portugal
------------------------------,--------------------
EnvLogger version, T2.4
EnvLogger Viewer version, 6.5
downloading device type, android
device, SM-A047F
device name, A04s de Izaskun
downloading mode, manual
------------------------------,--------------------
serial number, 04DE 2900 F655 0A
custom name, IEO2
temperature, degrees Celsius (?C)
time zone, UTC+0000
sampling resolution, 0.1
samples, 26
time diff [logger-smartphone](sec), -1
lat, 43.465623
long, -3.778207
accuracy (m), 10.0
------------------------------,--------------------
time,temp
2026-02-02 11:43:01,19.6
2026-02-02 11:43:21,18.4
2026-02-02 11:43:41,17.3
2026-02-02 11:44:01,16.1
2026-02-02 11:44:21,15.3
2026-02-02 11:44:41,14.6
2026-02-02 11:45:01,14.1
2026-02-02 11:45:21,13.6
2026-02-02 11:45:41,13.3
2026-02-02 11:46:01,13.1
2026-02-02 11:46:21,13.0
2026-02-02 11:46:41,12.8
2026-02-02 11:47:01,12.7
2026-02-02 11:47:21,12.7
2026-02-02 11:47:41,12.6
2026-02-02 11:48:01,12.6
2026-02-02 11:48:21,12.5
2026-02-02 11:48:41,12.5
2026-02-02 11:49:01,12.5
2026-02-02 11:49:21,12.5
2026-02-02 11:49:41,12.5
2026-02-02 11:50:01,12.5
2026-02-02 11:50:21,12.5
2026-02-02 11:50:41,NA
2026-02-02 11:51:01,NA
2026-02-02 11:51:21,NA
