------------------------------,--------------------
www.electricblue.eu, Portugal
------------------------------,--------------------
EnvLogger version, T2.4
EnvLogger Viewer version, 6.5
downloading device type, android
device, SM-A047F
device name, Galaxy A04s
downloading mode, manual
------------------------------,--------------------
serial number, 04DE 2900 F655 0A
custom name, IEO2
temperature, degrees Celsius (?C)
time zone, UTC+0000
sampling resolution, 0.1
samples, 25
time diff [logger-smartphone](sec), -1
lat, 43.463691
long, -3.781504
accuracy (m), 9.0
------------------------------,--------------------
time,temp
2025-12-30 12:09:00,14.6
2025-12-30 12:09:20,15.1
2025-12-30 12:09:40,15.4
2025-12-30 12:10:00,15.3
2025-12-30 12:10:20,15.1
2025-12-30 12:10:40,14.9
2025-12-30 12:11:00,14.7
2025-12-30 12:11:20,14.6
2025-12-30 12:11:40,14.5
2025-12-30 12:12:00,14.5
2025-12-30 12:12:20,14.4
2025-12-30 12:12:40,14.4
2025-12-30 12:13:00,14.3
2025-12-30 12:13:20,14.3
2025-12-30 12:13:40,14.3
2025-12-30 12:14:00,14.3
2025-12-30 12:14:20,14.3
2025-12-30 12:14:40,14.3
2025-12-30 12:15:00,14.3
2025-12-30 12:15:20,14.3
2025-12-30 12:15:40,14.3
2025-12-30 12:16:00,14.3
2025-12-30 12:16:20,14.3
2025-12-30 12:16:40,14.3
2025-12-30 12:17:00,14.3
