------------------------------,--------------------
www.electricblue.eu, Portugal
------------------------------,--------------------
EnvLogger version, T2.4
EnvLogger Viewer version, 1.22
downloading device type, iphone
device, iPhone
device name, iOS 18.6.2
downloading mode, manual
------------------------------,--------------------
serial number, 04A9 E300 0222 08
custom name, nz
temperature, degrees Celsius (?C)
time zone, UTC+0000
sampling resolution, 0.1
samples, 34
time diff [logger-smartphone](sec), -5
lat, 43.440454
long, -4.045011
accuracy (m), 3.5
------------------------------,--------------------
time,temp
2026-06-29 17:00:17,NA
2026-06-29 17:02:17,25.0
2026-06-29 17:04:17,24.7
2026-06-29 17:06:17,24.5
2026-06-29 17:08:17,24.4
2026-06-29 17:10:17,22.9
2026-06-29 17:12:17,21.8
2026-06-29 17:14:17,21.5
2026-06-29 17:16:17,21.5
2026-06-29 17:18:17,21.6
2026-06-29 17:20:17,21.6
2026-06-29 17:22:17,21.4
2026-06-29 17:24:17,21.5
2026-06-29 17:26:17,21.5
2026-06-29 17:28:17,21.7
2026-06-29 17:30:17,21.4
2026-06-29 17:32:17,21.4
2026-06-29 17:34:17,21.4
2026-06-29 17:36:17,21.3
2026-06-29 17:38:17,21.4
2026-06-29 17:40:17,21.3
2026-06-29 17:42:17,21.4
2026-06-29 17:44:17,21.4
2026-06-29 17:46:17,21.4
2026-06-29 17:48:17,21.0
2026-06-29 17:50:17,21.2
2026-06-29 17:52:17,21.3
2026-06-29 17:54:17,21.2
2026-06-29 17:56:17,20.8
2026-06-29 17:58:17,20.4
2026-06-29 18:00:17,20.1
2026-06-29 18:02:17,20.0
2026-06-29 18:04:17,20.0
2026-06-29 18:06:17,20.1
