------------------------------,--------------------
www.electricblue.eu, Portugal
------------------------------,--------------------
EnvLogger version, T2.4
EnvLogger Viewer version, 6.1
downloading device type, android
device, SM-A047F
device name, Galaxy A04s
downloading mode, manual
------------------------------,--------------------
serial number, 04DE 2900 F655 0A
custom name, IEO2
temperature, degrees Celsius
time zone, UTC+0000
sampling resolution, 0.1
samples, 33
time diff [logger-smartphone](sec), 0
lat, 43.463765
long, -3.781452
accuracy (m), 2.0
------------------------------,--------------------
time,temp
2025-05-29 06:35:20,NA
2025-05-29 06:35:40,24.4
2025-05-29 06:36:00,24.1
2025-05-29 06:36:20,23.8
2025-05-29 06:36:40,23.5
2025-05-29 06:37:00,22.6
2025-05-29 06:37:20,21.1
2025-05-29 06:37:40,20.0
2025-05-29 06:38:00,19.1
2025-05-29 06:38:20,18.4
2025-05-29 06:38:40,17.9
2025-05-29 06:39:00,17.5
2025-05-29 06:39:20,17.2
2025-05-29 06:39:40,16.9
2025-05-29 06:40:00,16.9
2025-05-29 06:40:20,16.6
2025-05-29 06:40:40,16.6
2025-05-29 06:41:00,16.5
2025-05-29 06:41:20,16.4
2025-05-29 06:41:40,16.4
2025-05-29 06:42:00,16.4
2025-05-29 06:42:20,16.4
2025-05-29 06:42:40,16.3
2025-05-29 06:43:00,16.3
2025-05-29 06:43:20,16.3
2025-05-29 06:43:40,16.3
2025-05-29 06:44:00,16.3
2025-05-29 06:44:20,16.3
2025-05-29 06:44:40,16.2
2025-05-29 06:45:00,16.2
2025-05-29 06:45:20,16.4
2025-05-29 06:45:40,16.6
2025-05-29 06:46:00,NA
