------------------------------,--------------------
www.electricblue.eu, Portugal
------------------------------,--------------------
EnvLogger version, T2.4
EnvLogger Viewer version, 6.5
downloading device type, android
device, SM-A047F
device name, A04s de Izaskun
downloading mode, manual
------------------------------,--------------------
serial number, 04DE 2900 F655 0A
custom name, IEO2
temperature, degrees Celsius (?C)
time zone, UTC+0000
sampling resolution, 0.1
samples, 23
time diff [logger-smartphone](sec), -2
lat, 43.463633
long, -3.781763
accuracy (m), 2.0
------------------------------,--------------------
time,temp
2026-03-23 12:21:00,NA
2026-03-23 12:21:20,24.5
2026-03-23 12:21:40,24.3
2026-03-23 12:22:00,22.7
2026-03-23 12:22:20,21.3
2026-03-23 12:22:40,19.9
2026-03-23 12:23:00,18.8
2026-03-23 12:23:20,18.0
2026-03-23 12:23:40,17.4
2026-03-23 12:24:00,16.9
2026-03-23 12:24:20,16.6
2026-03-23 12:24:40,16.3
2026-03-23 12:25:00,16.2
2026-03-23 12:25:20,16.0
2026-03-23 12:25:40,16.0
2026-03-23 12:26:00,15.9
2026-03-23 12:26:20,16.0
2026-03-23 12:26:40,15.9
2026-03-23 12:27:00,15.8
2026-03-23 12:27:20,15.9
2026-03-23 12:27:40,15.8
2026-03-23 12:28:00,15.8
2026-03-23 12:28:20,15.8
