------------------------------,--------------------
www.electricblue.eu, Portugal
------------------------------,--------------------
EnvLogger version, T2.4
EnvLogger Viewer version, 6.5
downloading device type, android
device, SM-A047F
device name, Galaxy A04s
downloading mode, manual
------------------------------,--------------------
serial number, 043C D700 5E03 0D
custom name, IEO1
temperature, degrees Celsius (?C)
time zone, UTC+0000
sampling resolution, 0.1
samples, 37
time diff [logger-smartphone](sec), -2
lat, 43.465848
long, -3.778715
accuracy (m), 7.0
------------------------------,--------------------
time,temp
2025-10-10 09:58:40,24.0
2025-10-10 09:59:00,24.4
2025-10-10 09:59:20,24.9
2025-10-10 09:59:40,26.0
2025-10-10 10:00:00,26.8
2025-10-10 10:00:20,27.6
2025-10-10 10:00:40,28.2
2025-10-10 10:01:00,28.5
2025-10-10 10:01:20,29.0
2025-10-10 10:01:40,28.7
2025-10-10 10:02:00,28.5
2025-10-10 10:02:20,27.4
2025-10-10 10:02:40,25.5
2025-10-10 10:03:00,23.9
2025-10-10 10:03:20,22.7
2025-10-10 10:03:40,21.7
2025-10-10 10:04:00,20.9
2025-10-10 10:04:20,20.4
2025-10-10 10:04:40,19.9
2025-10-10 10:05:00,19.6
2025-10-10 10:05:20,19.4
2025-10-10 10:05:40,19.2
2025-10-10 10:06:00,19.1
2025-10-10 10:06:20,19.0
2025-10-10 10:06:40,18.9
2025-10-10 10:07:00,18.9
2025-10-10 10:07:20,18.8
2025-10-10 10:07:40,18.8
2025-10-10 10:08:00,18.9
2025-10-10 10:08:20,19.2
2025-10-10 10:08:40,19.6
2025-10-10 10:09:00,20.0
2025-10-10 10:09:20,20.3
2025-10-10 10:09:40,20.6
2025-10-10 10:10:00,21.1
2025-10-10 10:10:20,21.9
2025-10-10 10:10:40,NA
