------------------------------,--------------------
www.electricblue.eu, Portugal
------------------------------,--------------------
EnvLogger version, T2.4
EnvLogger Viewer version, 6.5
downloading device type, android
device, SM-A047F
device name, Galaxy A04s
downloading mode, manual
------------------------------,--------------------
serial number, 043C D700 5E03 0D
custom name, IEO1
temperature, degrees Celsius (?C)
time zone, UTC+0000
sampling resolution, 0.1
samples, 22
time diff [logger-smartphone](sec), -2
lat, 43.465847
long, -3.778627
accuracy (m), 2.0
------------------------------,--------------------
time,temp
2025-12-02 11:32:00,18.8
2025-12-02 11:32:20,18.6
2025-12-02 11:32:40,17.8
2025-12-02 11:33:00,17.1
2025-12-02 11:33:20,16.6
2025-12-02 11:33:40,16.2
2025-12-02 11:34:00,15.8
2025-12-02 11:34:20,15.6
2025-12-02 11:34:40,15.4
2025-12-02 11:35:00,15.3
2025-12-02 11:35:20,15.2
2025-12-02 11:35:40,15.1
2025-12-02 11:36:00,15.1
2025-12-02 11:36:20,15.1
2025-12-02 11:36:40,15.0
2025-12-02 11:37:00,15.0
2025-12-02 11:37:20,15.0
2025-12-02 11:37:40,14.9
2025-12-02 11:38:00,14.9
2025-12-02 11:38:20,14.9
2025-12-02 11:38:40,14.9
2025-12-02 11:39:00,NA
