------------------------------,--------------------
www.electricblue.eu, Portugal
------------------------------,--------------------
EnvLogger version, T2.4
EnvLogger Viewer version, 6.5
downloading device type, android
device, SM-A047F
device name, A04s de Izaskun
downloading mode, manual
------------------------------,--------------------
serial number, 043C D700 5E03 0D
custom name, IEO1
temperature, degrees Celsius (?C)
time zone, UTC+0000
sampling resolution, 0.1
samples, 23
time diff [logger-smartphone](sec), -2
lat, 43.465690
long, -3.778305
accuracy (m), 8.5
------------------------------,--------------------
time,temp
2026-03-06 11:55:40,16.5
2026-03-06 11:56:00,16.5
2026-03-06 11:56:20,15.9
2026-03-06 11:56:40,15.1
2026-03-06 11:57:00,14.7
2026-03-06 11:57:20,14.3
2026-03-06 11:57:40,14.0
2026-03-06 11:58:00,13.8
2026-03-06 11:58:20,13.6
2026-03-06 11:58:40,13.5
2026-03-06 11:59:00,13.4
2026-03-06 11:59:20,13.4
2026-03-06 11:59:40,13.3
2026-03-06 12:00:00,13.2
2026-03-06 12:00:20,13.3
2026-03-06 12:00:40,13.2
2026-03-06 12:01:00,13.2
2026-03-06 12:01:20,13.2
2026-03-06 12:01:40,13.1
2026-03-06 12:02:00,13.1
2026-03-06 12:02:20,13.2
2026-03-06 12:02:40,13.1
2026-03-06 12:03:00,13.2
