------------------------------,--------------------
www.electricblue.eu, Portugal
------------------------------,--------------------
EnvLogger version, T2.4
EnvLogger Viewer version, 1.18
downloading device type, iphone
device, iPhone
downloading mode, manual
------------------------------,--------------------
serial number, 04C6 6500 710F 02
custom name, surf-igna
temperature, degrees Celsius
time zone, UTC+0000
sampling resolution, 0.1
samples, 26
time diff [logger-smartphone](sec), -1
lat, -53.718599
long, -70.873379
accuracy (m), 10.8
------------------------------,--------------------
time,temp
2025-02-23 23:16:04,NA
2025-02-23 23:16:24,19.9
2025-02-23 23:16:44,17.6
2025-02-23 23:17:04,15.6
2025-02-23 23:17:24,14.1
2025-02-23 23:17:44,13.1
2025-02-23 23:18:04,12.1
2025-02-23 23:18:24,11.4
2025-02-23 23:18:44,10.9
2025-02-23 23:19:04,10.6
2025-02-23 23:19:24,10.3
2025-02-23 23:19:44,10.0
2025-02-23 23:20:04,9.9
2025-02-23 23:20:24,9.8
2025-02-23 23:20:44,9.7
2025-02-23 23:21:04,9.7
2025-02-23 23:21:24,9.6
2025-02-23 23:21:44,9.6
2025-02-23 23:22:04,9.6
2025-02-23 23:22:24,9.6
2025-02-23 23:22:44,9.5
2025-02-23 23:23:04,9.6
2025-02-23 23:23:24,9.6
2025-02-23 23:23:44,9.5
2025-02-23 23:24:04,9.6
2025-02-23 23:24:24,9.6
