------------------------------,--------------------
www.electricblue.eu, Portugal
------------------------------,--------------------
EnvLogger version, T2.4
EnvLogger Viewer version, 6.5
downloading device type, android
device, SM-A047F
device name, Galaxy A04s
downloading mode, manual
------------------------------,--------------------
serial number, 043C D700 5E03 0D
custom name, IEO1
temperature, degrees Celsius (?C)
time zone, UTC+0000
sampling resolution, 0.1
samples, 27
time diff [logger-smartphone](sec), -1
lat, 43.463781
long, -3.781451
accuracy (m), 1.5
------------------------------,--------------------
time,temp
2025-12-02 11:13:20,24.6
2025-12-02 11:13:40,23.5
2025-12-02 11:14:00,21.5
2025-12-02 11:14:20,20.0
2025-12-02 11:14:40,18.8
2025-12-02 11:15:00,17.9
2025-12-02 11:15:20,17.1
2025-12-02 11:15:40,16.6
2025-12-02 11:16:00,16.2
2025-12-02 11:16:20,15.9
2025-12-02 11:16:40,15.6
2025-12-02 11:17:00,15.5
2025-12-02 11:17:20,15.4
2025-12-02 11:17:40,15.3
2025-12-02 11:18:00,15.2
2025-12-02 11:18:20,15.2
2025-12-02 11:18:40,15.1
2025-12-02 11:19:00,15.1
2025-12-02 11:19:20,15.1
2025-12-02 11:19:40,15.1
2025-12-02 11:20:00,15.1
2025-12-02 11:20:20,15.1
2025-12-02 11:20:40,15.1
2025-12-02 11:21:00,15.2
2025-12-02 11:21:20,15.2
2025-12-02 11:21:40,15.3
2025-12-02 11:22:00,NA
