------------------------------,--------------------
www.electricblue.eu, Portugal
------------------------------,--------------------
EnvLogger version, T2.4
EnvLogger Viewer version, 1.18
downloading device type, iphone
device, iPhone
downloading mode, manual
------------------------------,--------------------
serial number, 04E5 4A00 DE5A 05
custom name, Miguel
temperature, degrees Celsius
time zone, UTC+0000
sampling resolution, 0.5
samples, 20
time diff [logger-smartphone](sec), -5
lat, 43.451226
long, -3.821641
accuracy (m), 10.5
------------------------------,--------------------
time,temp
2025-03-13 10:16:08,NA
2025-03-13 10:16:28,12.0
2025-03-13 10:16:48,12.0
2025-03-13 10:17:08,11.5
2025-03-13 10:17:28,12.0
2025-03-13 10:17:48,12.0
2025-03-13 10:18:08,12.5
2025-03-13 10:18:28,12.5
2025-03-13 10:18:48,12.5
2025-03-13 10:19:08,13.0
2025-03-13 10:19:28,13.0
2025-03-13 10:19:48,13.0
2025-03-13 10:20:08,13.0
2025-03-13 10:20:28,13.0
2025-03-13 10:20:48,13.5
2025-03-13 10:21:08,13.5
2025-03-13 10:21:28,13.5
2025-03-13 10:21:48,13.5
2025-03-13 10:22:08,13.5
2025-03-13 10:22:28,NA
