------------------------------,--------------------
www.electricblue.eu, Portugal
------------------------------,--------------------
EnvLogger version, T2.4
EnvLogger Viewer version, 6.2
downloading device type, android
device, SM-A047F
device name, Galaxy A04s
downloading mode, manual
------------------------------,--------------------
serial number, 043C D700 5E03 0D
custom name, IEO1
temperature, degrees Celsius (?C)
time zone, UTC+0000
sampling resolution, 0.1
samples, 25
time diff [logger-smartphone](sec), -1
lat, 43.463635
long, -3.781616
accuracy (m), 2.0
------------------------------,--------------------
time,temp
2025-06-12 06:44:00,NA
2025-06-12 06:44:20,24.3
2025-06-12 06:44:40,24.2
2025-06-12 06:45:00,23.8
2025-06-12 06:45:20,22.6
2025-06-12 06:45:40,21.6
2025-06-12 06:46:00,20.7
2025-06-12 06:46:20,20.1
2025-06-12 06:46:40,19.5
2025-06-12 06:47:00,19.2
2025-06-12 06:47:20,18.9
2025-06-12 06:47:40,18.7
2025-06-12 06:48:00,18.6
2025-06-12 06:48:20,18.5
2025-06-12 06:48:40,18.4
2025-06-12 06:49:00,18.4
2025-06-12 06:49:20,18.3
2025-06-12 06:49:40,18.3
2025-06-12 06:50:00,18.2
2025-06-12 06:50:20,18.3
2025-06-12 06:50:40,18.3
2025-06-12 06:51:00,18.3
2025-06-12 06:51:20,18.3
2025-06-12 06:51:40,18.3
2025-06-12 06:52:00,NA
