------------------------------,--------------------
www.electricblue.eu, Portugal
------------------------------,--------------------
EnvLogger version, T2.4
EnvLogger Viewer version, 6.1
downloading device type, android
device, SM-A047F
device name, Galaxy A04s
downloading mode, manual
------------------------------,--------------------
serial number, 04DE 2900 F655 0A
custom name, IEO2
temperature, degrees Celsius
time zone, UTC+0000
sampling resolution, 0.1
samples, 24
time diff [logger-smartphone](sec), -1
lat, 43.463651
long, -3.781562
accuracy (m), 7.5
------------------------------,--------------------
time,temp
2025-05-20 10:15:40,27.3
2025-05-20 10:16:00,25.9
2025-05-20 10:16:20,23.8
2025-05-20 10:16:40,22.1
2025-05-20 10:17:00,20.7
2025-05-20 10:17:20,19.5
2025-05-20 10:17:40,18.8
2025-05-20 10:18:00,18.2
2025-05-20 10:18:20,17.7
2025-05-20 10:18:40,17.4
2025-05-20 10:19:00,17.1
2025-05-20 10:19:20,16.9
2025-05-20 10:19:40,16.7
2025-05-20 10:20:00,16.6
2025-05-20 10:20:20,16.5
2025-05-20 10:20:40,16.5
2025-05-20 10:21:00,16.4
2025-05-20 10:21:20,16.4
2025-05-20 10:21:40,16.3
2025-05-20 10:22:00,16.3
2025-05-20 10:22:20,16.3
2025-05-20 10:22:40,16.3
2025-05-20 10:23:00,16.4
2025-05-20 10:23:20,16.3
