------------------------------,--------------------
www.electricblue.eu, Portugal
------------------------------,--------------------
EnvLogger version, T2.4
EnvLogger Viewer version, 6.5
downloading device type, android
device, SM-A047F
device name, Galaxy A04s
downloading mode, manual
------------------------------,--------------------
serial number, 043C D700 5E03 0D
custom name, IEO1
temperature, degrees Celsius (?C)
time zone, UTC+0000
sampling resolution, 0.1
samples, 24
time diff [logger-smartphone](sec), -2
lat, 43.463787
long, -3.781461
accuracy (m), 8.5
------------------------------,--------------------
time,temp
2025-12-16 12:44:20,18.6
2025-12-16 12:44:40,18.6
2025-12-16 12:45:00,18.9
2025-12-16 12:45:20,17.9
2025-12-16 12:45:40,17.1
2025-12-16 12:46:00,16.5
2025-12-16 12:46:20,16.0
2025-12-16 12:46:40,15.7
2025-12-16 12:47:00,15.4
2025-12-16 12:47:20,15.1
2025-12-16 12:47:40,15.1
2025-12-16 12:48:00,14.9
2025-12-16 12:48:20,14.9
2025-12-16 12:48:40,14.8
2025-12-16 12:49:00,14.8
2025-12-16 12:49:20,14.7
2025-12-16 12:49:40,14.7
2025-12-16 12:50:00,14.7
2025-12-16 12:50:20,14.7
2025-12-16 12:50:40,14.7
2025-12-16 12:51:00,14.7
2025-12-16 12:51:20,14.6
2025-12-16 12:51:40,14.7
2025-12-16 12:52:00,14.6
