------------------------------,--------------------
www.electricblue.eu, Portugal
------------------------------,--------------------
EnvLogger version, T2.4
EnvLogger Viewer version, 5.7
downloading device type, android
device, Pocket
device name, Pocket
downloading mode, manual
------------------------------,--------------------
serial number, 04C6 6500 710F 02
custom name, surf-igna
temperature, degrees Celsius
time zone, UTC+0000
sampling resolution, 0.1
samples, 202
time diff [logger-smartphone](sec), -1
lat, 37.108780
long, -8.935526
accuracy (m), 1.0
------------------------------,--------------------
time,temp
2025-01-02 14:06:00,18.7
2025-01-02 14:08:00,18.5
2025-01-02 14:10:00,18.0
2025-01-02 14:12:00,17.6
2025-01-02 14:14:00,17.5
2025-01-02 14:16:00,17.4
2025-01-02 14:18:00,17.2
2025-01-02 14:20:00,17.2
2025-01-02 14:22:00,17.1
2025-01-02 14:24:00,17.1
2025-01-02 14:26:00,17.2
2025-01-02 14:28:00,17.3
2025-01-02 14:30:00,17.3
2025-01-02 14:32:00,17.2
2025-01-02 14:34:00,17.3
2025-01-02 14:36:00,17.2
2025-01-02 14:38:00,17.1
2025-01-02 14:40:00,17.2
2025-01-02 14:42:00,17.2
2025-01-02 14:44:00,17.1
2025-01-02 14:46:00,17.1
2025-01-02 14:48:00,17.1
2025-01-02 14:50:00,17.1
2025-01-02 14:52:00,17.2
2025-01-02 14:54:00,17.1
2025-01-02 14:56:00,17.1
2025-01-02 14:58:00,17.1
2025-01-02 15:00:00,17.1
2025-01-02 15:02:00,17.1
2025-01-02 15:04:00,17.0
2025-01-02 15:06:00,16.8
2025-01-02 15:08:00,16.7
2025-01-02 15:10:00,16.6
2025-01-02 15:12:00,16.5
2025-01-02 15:14:00,16.5
2025-01-02 15:16:00,16.6
2025-01-02 15:18:00,16.8
2025-01-02 15:20:00,16.9
2025-01-02 15:22:00,17.0
2025-01-02 15:24:00,17.1
2025-01-02 15:26:00,17.2
2025-01-02 15:28:00,17.3
2025-01-02 15:30:00,17.3
2025-01-02 15:32:00,17.4
2025-01-02 15:34:00,17.2
2025-01-02 15:36:00,17.1
2025-01-02 15:38:00,16.9
2025-01-02 15:40:00,16.8
2025-01-02 15:42:00,16.8
2025-01-02 15:44:00,16.8
2025-01-02 15:46:00,16.7
2025-01-02 15:48:00,16.6
2025-01-02 15:50:00,16.5
2025-01-02 15:52:00,16.4
2025-01-02 15:54:00,16.4
2025-01-02 15:56:00,16.4
2025-01-02 15:58:00,16.2
2025-01-02 16:00:00,16.1
2025-01-02 16:02:00,16.0
2025-01-02 16:04:00,15.9
2025-01-02 16:06:00,15.9
2025-01-02 16:08:00,15.9
2025-01-02 16:10:00,15.7
2025-01-02 16:12:00,15.8
2025-01-02 16:14:00,15.7
2025-01-02 16:16:00,15.6
2025-01-02 16:18:00,15.6
2025-01-02 16:20:00,15.5
2025-01-02 16:22:00,15.5
2025-01-02 16:24:00,15.5
2025-01-02 16:26:00,15.4
2025-01-02 16:28:00,15.3
2025-01-02 16:30:00,15.3
2025-01-02 16:32:00,15.3
2025-01-02 16:34:00,15.2
2025-01-02 16:36:00,15.1
2025-01-02 16:38:00,15.0
2025-01-02 16:40:00,15.2
2025-01-02 16:42:00,16.0
2025-01-02 16:44:00,16.7
2025-01-02 16:46:00,16.9
2025-01-02 16:48:00,17.0
2025-01-02 16:50:00,17.0
2025-01-02 16:52:00,16.9
2025-01-02 16:54:00,16.9
2025-01-02 16:56:00,16.9
2025-01-02 16:58:00,16.9
2025-01-02 17:00:00,17.0
2025-01-02 17:02:00,17.0
2025-01-02 17:04:00,17.0
2025-01-02 17:06:00,16.9
2025-01-02 17:08:00,17.0
2025-01-02 17:10:00,16.9
2025-01-02 17:12:00,16.9
