------------------------------,--------------------
www.electricblue.eu, Portugal
------------------------------,--------------------
EnvLogger version, T2.4
EnvLogger Viewer version, 6.4
downloading device type, android
device, SM-A047F
device name, Galaxy A04s
downloading mode, manual
------------------------------,--------------------
serial number, 043C D700 5E03 0D
custom name, IEO1
temperature, degrees Celsius (?C)
time zone, UTC+0000
sampling resolution, 0.1
samples, 31
time diff [logger-smartphone](sec), 0
lat, 43.465745
long, -3.778814
accuracy (m), 6.0
------------------------------,--------------------
time,temp
2025-08-28 14:04:00,28.6
2025-08-28 14:04:20,28.9
2025-08-28 14:04:40,29.2
2025-08-28 14:05:00,27.6
2025-08-28 14:05:20,26.1
2025-08-28 14:05:40,24.8
2025-08-28 14:06:00,23.7
2025-08-28 14:06:20,22.9
2025-08-28 14:06:40,22.3
2025-08-28 14:07:00,21.8
2025-08-28 14:07:20,21.5
2025-08-28 14:07:40,21.2
2025-08-28 14:08:00,21.0
2025-08-28 14:08:20,20.8
2025-08-28 14:08:40,20.7
2025-08-28 14:09:00,20.6
2025-08-28 14:09:20,20.6
2025-08-28 14:09:40,20.5
2025-08-28 14:10:00,20.5
2025-08-28 14:10:20,20.5
2025-08-28 14:10:40,20.5
2025-08-28 14:11:00,20.5
2025-08-28 14:11:20,20.5
2025-08-28 14:11:40,20.6
2025-08-28 14:12:00,20.5
2025-08-28 14:12:20,20.6
2025-08-28 14:12:40,20.6
2025-08-28 14:13:00,20.8
2025-08-28 14:13:20,20.9
2025-08-28 14:13:40,21.1
2025-08-28 14:14:00,21.5
