------------------------------,--------------------
www.electricblue.eu, Portugal
------------------------------,--------------------
EnvLogger version, T2.4
EnvLogger Viewer version, 6.1
downloading device type, android
device, SM-A047F
device name, Galaxy A04s
downloading mode, manual
------------------------------,--------------------
serial number, 04DE 2900 F655 0A
custom name, IEO2
temperature, degrees Celsius
time zone, UTC+0000
sampling resolution, 0.1
samples, 31
time diff [logger-smartphone](sec), -1
lat, 43.464409
long, -3.780657
accuracy (m), 2.0
------------------------------,--------------------
time,temp
2025-04-08 12:22:00,19.9
2025-04-08 12:22:20,19.2
2025-04-08 12:22:40,18.6
2025-04-08 12:23:00,18.2
2025-04-08 12:23:20,17.8
2025-04-08 12:23:40,17.5
2025-04-08 12:24:00,17.3
2025-04-08 12:24:20,17.1
2025-04-08 12:24:40,17.0
2025-04-08 12:25:00,16.9
2025-04-08 12:25:20,16.8
2025-04-08 12:25:40,16.7
2025-04-08 12:26:00,16.6
2025-04-08 12:26:20,16.5
2025-04-08 12:26:40,16.5
2025-04-08 12:27:00,16.5
2025-04-08 12:27:20,16.4
2025-04-08 12:27:40,16.4
2025-04-08 12:28:00,16.4
2025-04-08 12:28:20,16.4
2025-04-08 12:28:40,16.5
2025-04-08 12:29:00,16.6
2025-04-08 12:29:20,16.6
2025-04-08 12:29:40,16.6
2025-04-08 12:30:00,16.6
2025-04-08 12:30:20,16.7
2025-04-08 12:30:40,16.6
2025-04-08 12:31:00,16.6
2025-04-08 12:31:20,16.7
2025-04-08 12:31:40,16.7
2025-04-08 12:32:00,NA
