------------------------------,--------------------
www.electricblue.eu, Portugal
------------------------------,--------------------
EnvLogger version, T2.4
EnvLogger Viewer version, 6.5
downloading device type, android
device, SM-A047F
device name, Galaxy A04s
downloading mode, manual
------------------------------,--------------------
serial number, 04DE 2900 F655 0A
custom name, IEO2
temperature, degrees Celsius (?C)
time zone, UTC+0000
sampling resolution, 0.1
samples, 25
time diff [logger-smartphone](sec), -3
lat, 43.465822
long, -3.778795
accuracy (m), 4.5
------------------------------,--------------------
time,temp
2025-10-14 14:22:40,NA
2025-10-14 14:23:00,22.6
2025-10-14 14:23:20,22.1
2025-10-14 14:23:40,21.1
2025-10-14 14:24:00,20.4
2025-10-14 14:24:20,19.9
2025-10-14 14:24:40,19.4
2025-10-14 14:25:00,19.0
2025-10-14 14:25:20,18.8
2025-10-14 14:25:40,18.6
2025-10-14 14:26:00,18.4
2025-10-14 14:26:20,18.4
2025-10-14 14:26:40,18.2
2025-10-14 14:27:00,18.2
2025-10-14 14:27:20,18.1
2025-10-14 14:27:40,18.0
2025-10-14 14:28:00,18.0
2025-10-14 14:28:20,18.0
2025-10-14 14:28:40,17.9
2025-10-14 14:29:00,17.9
2025-10-14 14:29:20,17.9
2025-10-14 14:29:40,17.9
2025-10-14 14:30:00,17.8
2025-10-14 14:30:20,17.9
2025-10-14 14:30:40,18.3
