------------------------------,--------------------
www.electricblue.eu, Portugal
------------------------------,--------------------
EnvLogger version, T2.4
EnvLogger Viewer version, 6.5
downloading device type, android
device, SM-A047F
device name, A04s de Izaskun
downloading mode, manual
------------------------------,--------------------
serial number, 043C D700 5E03 0D
custom name, IEO1
temperature, degrees Celsius (?C)
time zone, UTC+0000
sampling resolution, 0.1
samples, 22
time diff [logger-smartphone](sec), -1
lat, 43.465764
long, -3.778599
accuracy (m), 2.5
------------------------------,--------------------
time,temp
2026-01-19 16:38:01,NA
2026-01-19 16:38:21,15.8
2026-01-19 16:38:41,15.6
2026-01-19 16:39:01,15.2
2026-01-19 16:39:21,14.6
2026-01-19 16:39:41,14.3
2026-01-19 16:40:01,13.9
2026-01-19 16:40:21,13.7
2026-01-19 16:40:41,13.6
2026-01-19 16:41:01,13.5
2026-01-19 16:41:21,13.3
2026-01-19 16:41:41,13.3
2026-01-19 16:42:01,13.3
2026-01-19 16:42:21,13.2
2026-01-19 16:42:41,13.1
2026-01-19 16:43:01,13.1
2026-01-19 16:43:21,13.1
2026-01-19 16:43:41,13.1
2026-01-19 16:44:01,13.1
2026-01-19 16:44:21,13.1
2026-01-19 16:44:41,13.1
2026-01-19 16:45:01,13.1
