------------------------------,--------------------
www.electricblue.eu, Portugal
------------------------------,--------------------
EnvLogger version, T2.4
EnvLogger Viewer version, 1.18
downloading device type, iphone
device, iPhone
downloading mode, manual
------------------------------,--------------------
serial number, 04A9 3300 C40E 01
custom name, Colegio MB
temperature, degrees Celsius
time zone, UTC+0000
sampling resolution, 0.5
samples, 19
time diff [logger-smartphone](sec), -2
lat, 43.452559
long, -3.824014
accuracy (m), 18.8
------------------------------,--------------------
time,temp
2025-05-29 09:11:32,NA
2025-05-29 09:11:52,25.0
2025-05-29 09:12:12,25.0
2025-05-29 09:12:32,23.5
2025-05-29 09:12:52,22.0
2025-05-29 09:13:12,21.0
2025-05-29 09:13:32,20.5
2025-05-29 09:13:52,20.0
2025-05-29 09:14:12,19.5
2025-05-29 09:14:32,19.5
2025-05-29 09:14:52,19.0
2025-05-29 09:15:12,19.0
2025-05-29 09:15:32,19.0
2025-05-29 09:15:52,18.5
2025-05-29 09:16:12,18.5
2025-05-29 09:16:32,18.5
2025-05-29 09:16:52,18.5
2025-05-29 09:17:12,18.5
2025-05-29 09:17:32,18.5
