------------------------------,--------------------
www.electricblue.eu, Portugal
------------------------------,--------------------
EnvLogger version, T2.4
EnvLogger Viewer version, 1.18
downloading device type, iphone
device, iPhone
downloading mode, manual
------------------------------,--------------------
serial number, 04E5 4A00 DE5A 05
custom name, Miguel
temperature, degrees Celsius
time zone, UTC+0000
sampling resolution, 0.5
samples, 26
time diff [logger-smartphone](sec), -12
lat, 43.451112
long, -3.821679
accuracy (m), 6.1
------------------------------,--------------------
time,temp
2025-03-12 10:14:42,NA
2025-03-12 10:15:02,19.5
2025-03-12 10:15:22,19.0
2025-03-12 10:15:42,18.5
2025-03-12 10:16:02,17.5
2025-03-12 10:16:22,16.5
2025-03-12 10:16:42,15.5
2025-03-12 10:17:02,15.5
2025-03-12 10:17:22,14.5
2025-03-12 10:17:42,14.5
2025-03-12 10:18:02,14.5
2025-03-12 10:18:22,14.5
2025-03-12 10:18:42,14.0
2025-03-12 10:19:02,14.0
2025-03-12 10:19:22,14.0
2025-03-12 10:19:42,14.0
2025-03-12 10:20:02,14.0
2025-03-12 10:20:22,14.0
2025-03-12 10:20:42,13.5
2025-03-12 10:21:02,14.0
2025-03-12 10:21:22,13.5
2025-03-12 10:21:42,13.5
2025-03-12 10:22:02,NA
2025-03-12 10:22:22,13.5
2025-03-12 10:22:42,NA
2025-03-12 10:23:02,13.0
