Date,Latitude,Longitude,Temperature,fractional_time,Team,climatology_temp,Temperature_Anomaly
2025-01-14 14:00:00,43.450161,-3.962886,13.48,0.41935483870967744,raw,10.941935483870967,2.538064516129033
2025-01-29 15:00:00,43.475136,-3.786151,13.4,0.9032258064516129,raw,10.990322580645161,2.409677419354839
2025-03-06 10:00:00,43.451124,-3.821632,13.88,2.161290322580645,raw,11.569354838709678,2.3106451612903225
2025-04-10 09:00:00,43.451098,-3.821661,16.08,3.3,raw,12.854999999999999,3.2249999999999996
2025-02-24 12:00:00,-54.883094,-70.230823,9.26,1.8214285714285714,raw,11.32857142857143,-2.0685714285714294
2025-02-18 10:00:00,43.451627,-3.82202,13.98,1.6071428571428572,raw,11.242857142857144,2.7371428571428567
2025-04-15 09:00:00,43.451117,-3.821617,14.86,3.466666666666667,raw,13.08,1.7799999999999994
2025-04-14 11:00:00,43.465588,-3.778351,15.25,3.4333333333333336,raw,13.035,2.215
2025-01-10 15:00:00,43.476076,-3.694162,13.63,0.2903225806451613,raw,10.929032258064517,2.700967741935484
2025-02-02 07:00:00,43.389521,-4.382791,12.84,1.0357142857142858,raw,11.014285714285714,1.8257142857142856
2025-04-08 09:00:00,43.451138,-3.821798,16.16,3.2333333333333334,raw,12.765,3.3949999999999996
2025-03-21 10:00:00,43.451129,-3.821602,13.7,2.6451612903225805,raw,12.077419354838709,1.6225806451612907
2025-01-02 16:00:00,37.10878,-8.935526,16.91,0.03225806451612903,raw,10.903225806451614,6.006774193548386
2025-03-13 10:00:00,43.451226,-3.821641,13.5,2.3870967741935485,raw,11.806451612903226,1.693548387096774
2025-04-08 12:00:00,43.464359,-3.78064,16.6,3.2333333333333334,raw,12.765,3.835000000000001
2025-03-07 10:00:00,43.451144,-3.821595,14.08,2.193548387096774,raw,11.603225806451613,2.476774193548387
2025-04-11 09:00:00,43.451189,-3.821683,16.35,3.3333333333333335,raw,12.9,3.450000000000001
2025-03-12 10:00:00,43.451112,-3.821679,14.0,2.3548387096774195,raw,11.772580645161291,2.227419354838709
2025-04-16 09:00:00,43.452336,-3.822646,14.83,3.5,raw,13.125,1.705
2025-02-17 10:00:00,43.451403,-3.821793,14.18,1.5714285714285714,raw,11.22857142857143,2.95142857142857
2025-01-29 15:00:00,43.475136,-3.786151,13.4,0.9032258064516129,raw,10.990322580645161,2.409677419354839
2025-04-14 09:00:00,43.451142,-3.821615,14.96,3.4333333333333336,raw,13.035,1.9250000000000007
2025-04-01 09:00:00,43.451118,-3.821631,14.12,3.0,raw,12.45,1.67
2025-02-24 03:00:00,-54.415977,-71.004693,9.3,1.8214285714285714,raw,11.32857142857143,-2.0285714285714285
2025-02-24 04:00:00,-54.34799,-71.3803,9.42,1.8214285714285714,raw,11.32857142857143,-1.9085714285714293
2024-12-13 14:00:00,43.455761,-3.742693,14.73,11.387096774193548,raw,12.0,2.7300000000000004
2025-01-29 15:00:00,43.475136,-3.786151,13.4,0.9032258064516129,raw,10.990322580645161,2.409677419354839
2025-03-18 10:00:00,43.451065,-3.821792,13.12,2.5483870967741935,raw,11.975806451612902,1.144193548387097
2025-02-23 23:00:00,-53.718599,-70.873379,9.66,1.7857142857142856,raw,11.314285714285715,-1.6542857142857148
2024-12-07 13:00:00,43.586608,-5.760915,14.85,11.193548387096774,raw,12.0,2.8499999999999996
2025-03-10 10:00:00,43.451243,-3.821527,13.98,2.2903225806451615,raw,11.70483870967742,2.275161290322581
2024-09-23 09:00:00,43.46341,-3.782722,16.8,8.733333333333333,raw,16.6,0.1999999999999993
2024-09-24 18:00:00,43.449935,-3.965992,19.73,8.766666666666667,raw,16.525,3.205000000000002
2025-04-14 11:00:00,43.465608,-3.778333,15.35,3.4333333333333336,raw,13.035,2.3149999999999995
2025-03-04 10:00:00,43.451103,-3.821637,13.79,2.096774193548387,raw,11.501612903225807,2.2883870967741924
2025-03-27 10:00:00,43.451147,-3.821623,13.5,2.838709677419355,raw,12.280645161290321,1.2193548387096786
2025-04-08 12:00:00,43.463716,-3.781431,15.08,3.2333333333333334,raw,12.765,2.3149999999999995
2025-02-27 18:00:00,-62.685011,-61.064168,1.54,1.9285714285714286,raw,11.371428571428572,-9.831428571428571
2025-03-03 10:00:00,43.451365,-3.821793,13.64,2.064516129032258,raw,11.467741935483872,2.1722580645161287
2025-03-20 10:00:00,43.451465,-3.821937,13.44,2.6129032258064515,raw,12.043548387096774,1.3964516129032258
2025-02-15 15:00:00,43.392396,-4.366493,13.66,1.5,raw,11.2,2.460000000000001
2025-03-17 10:00:00,43.451137,-3.821617,12.69,2.5161290322580645,raw,11.941935483870967,0.7480645161290322
2025-02-28 11:00:00,-62.202067,-58.931518,1.26,1.9642857142857144,raw,11.385714285714286,-10.125714285714286
2025-02-27 15:00:00,-62.657579,-60.391197,1.45,1.9285714285714286,raw,11.371428571428572,-9.921428571428573
2024-12-01 08:00:00,43.45,-3.97,15.37,11.0,raw,12.0,3.369999999999999
2025-03-28 10:00:00,43.451089,-3.821674,13.53,2.870967741935484,raw,12.314516129032258,1.2154838709677414
2025-04-19 10:00:00,43.389414,-4.382248,14.99,3.6,raw,13.26,1.7300000000000004
2025-01-17 16:00:00,43.462663,-3.724438,13.41,0.5161290322580645,raw,10.951612903225806,2.458387096774194
2025-01-31 14:00:00,43.481226,-3.834729,13.35,0.967741935483871,raw,10.996774193548386,2.353225806451613
2025-03-19 10:00:00,43.451493,-3.821763,13.19,2.5806451612903225,raw,12.009677419354839,1.1803225806451607
