------------------------------,--------------------
www.electricblue.eu, Portugal
------------------------------,--------------------
EnvLogger version, T2.4
EnvLogger Viewer version, 6.1
downloading device type, android
device, SM-A236B
device name, A23 de Roberto
downloading mode, manual
------------------------------,--------------------
serial number, 04E5 4A00 DE5A 05
custom name, Miguel
temperature, degrees Celsius
time zone, UTC+0000
sampling resolution, 0.1
samples, 25
time diff [logger-smartphone](sec), -1
lat, 43.451089
long, -3.821674
accuracy (m), 8.8
------------------------------,--------------------
time,temp
2025-03-28 10:15:00,NA
2025-03-28 10:15:20,18.0
2025-03-28 10:15:40,17.9
2025-03-28 10:16:00,17.0
2025-03-28 10:16:20,16.2
2025-03-28 10:16:40,15.5
2025-03-28 10:17:00,14.9
2025-03-28 10:17:20,14.6
2025-03-28 10:17:40,14.3
2025-03-28 10:18:00,14.1
2025-03-28 10:18:20,13.9
2025-03-28 10:18:40,13.8
2025-03-28 10:19:00,13.7
2025-03-28 10:19:20,13.7
2025-03-28 10:19:40,13.6
2025-03-28 10:20:00,13.6
2025-03-28 10:20:20,13.6
2025-03-28 10:20:40,13.6
2025-03-28 10:21:00,13.5
2025-03-28 10:21:20,13.5
2025-03-28 10:21:40,13.4
2025-03-28 10:22:00,13.4
2025-03-28 10:22:20,13.4
2025-03-28 10:22:40,13.4
