------------------------------,--------------------
www.electricblue.eu, Portugal
------------------------------,--------------------
EnvLogger version, T2.4
EnvLogger Viewer version, 6.5
downloading device type, android
device, SM-A236B
device name, A23 de Roberto
downloading mode, manual
------------------------------,--------------------
serial number, 04A9 3300 C40E 01
custom name, Colegio MB
temperature, degrees Celsius (ºC)
time zone, UTC+0000
sampling resolution, 0.1
samples, 24
time diff [logger-smartphone](sec), 0
lat, 43.451111
long, -3.821575
accuracy (m), 7.3
------------------------------,--------------------
time,temp
2025-12-17 10:11:01,NA
2025-12-17 10:11:21,17.4
2025-12-17 10:11:41,16.9
2025-12-17 10:12:01,16.2
2025-12-17 10:12:21,15.7
2025-12-17 10:12:41,15.4
2025-12-17 10:13:01,15.1
2025-12-17 10:13:21,14.9
2025-12-17 10:13:41,14.8
2025-12-17 10:14:01,14.7
2025-12-17 10:14:21,14.7
2025-12-17 10:14:41,14.6
2025-12-17 10:15:01,14.6
2025-12-17 10:15:21,14.5
2025-12-17 10:15:41,14.5
2025-12-17 10:16:01,14.5
2025-12-17 10:16:21,14.5
2025-12-17 10:16:41,14.5
2025-12-17 10:17:01,14.5
2025-12-17 10:17:21,14.5
2025-12-17 10:17:41,14.5
2025-12-17 10:18:01,14.5
2025-12-17 10:18:21,14.5
2025-12-17 10:18:41,14.5
