------------------------------,--------------------
www.electricblue.eu, Portugal
------------------------------,--------------------
EnvLogger version, T2.4
EnvLogger Viewer version, 6.1
downloading device type, android
device, SM-A236B
device name, A23 de Roberto
downloading mode, manual
------------------------------,--------------------
serial number, 04E5 4A00 DE5A 05
custom name, Miguel
temperature, degrees Celsius
time zone, UTC+0000
sampling resolution, 0.1
samples, 24
time diff [logger-smartphone](sec), 0
lat, 43.451129
long, -3.821602
accuracy (m), 6.7
------------------------------,--------------------
time,temp
2025-03-21 10:13:41,NA
2025-03-21 10:14:01,20.1
2025-03-21 10:14:21,19.7
2025-03-21 10:14:41,18.2
2025-03-21 10:15:01,17.0
2025-03-21 10:15:21,16.1
2025-03-21 10:15:41,15.4
2025-03-21 10:16:01,14.9
2025-03-21 10:16:21,14.6
2025-03-21 10:16:41,14.4
2025-03-21 10:17:01,14.1
2025-03-21 10:17:21,14.0
2025-03-21 10:17:41,13.9
2025-03-21 10:18:01,13.8
2025-03-21 10:18:21,13.7
2025-03-21 10:18:41,13.7
2025-03-21 10:19:01,13.7
2025-03-21 10:19:21,13.6
2025-03-21 10:19:41,13.6
2025-03-21 10:20:01,13.6
2025-03-21 10:20:21,13.6
2025-03-21 10:20:41,13.6
2025-03-21 10:21:01,13.6
2025-03-21 10:21:21,NA
